id,probe,metric,n,mean
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,validator__L39,burst_start_distance,69,54.710144927536234
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,scorefile__L39,trigger_distance,160,23.95
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,scorefile__L39,silent_gap,114,32.21052631578947
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,scorefile__L39,burst_start_distance,114,33.60526315789474
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,acquire__L39,trigger_distance,206,17.597087378640776
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,acquire__L39,silent_gap,117,29.22222222222222
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,acquire__L39,burst_start_distance,117,30.982905982905983
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,report__L39,trigger_distance,184,20.57608695652174
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,report__L39,silent_gap,77,46.77922077922078
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,report__L39,burst_start_distance,77,49.03896103896104
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,motivated__L39,trigger_distance,179,21.100558659217878
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,motivated__L39,silent_gap,102,35.27450980392157
c9fce5dc305b53061eb1fa956b2e5f210b5fc67424b68caa3504e17d15e25fc4,motivated__L39,burst_start_distance,102,37.029411764705884
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,suite__L39,trigger_distance,158,22.645569620253166
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,suite__L39,silent_gap,96,35.625
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,suite__L39,burst_start_distance,96,37.270833333333336
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,validator__L39,trigger_distance,166,21.349397590361445
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,validator__L39,silent_gap,85,39.741176470588236
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,validator__L39,burst_start_distance,85,41.68235294117647
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,scorefile__L39,trigger_distance,229,15.751091703056769
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,scorefile__L39,silent_gap,136,24.83823529411765
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,scorefile__L39,burst_start_distance,136,26.522058823529413
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,acquire__L39,trigger_distance,185,19.589189189189188
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,acquire__L39,silent_gap,121,28.421487603305785
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,acquire__L39,burst_start_distance,121,29.950413223140497
897b8d9093cc92e49857742ad6be3ad23d4b098c7e8bd9e9de89e3ad0be50391,report__L39,trigger_distance,71,38.521126760563384
